origin,ori_ts,destination,des_ts,cost,k
14.0,1528283268.0,11.0,1528283992.0,0.23620554510554395,1.0
14.0,1528283268.0,10.0,1528284354.0,0.1869656741768295,1.0
3.0,1528283268.0,11.0,1528283992.0,0.0752624293802093,1.0
3.0,1528283268.0,16.0,1528284354.0,0.17710689669748894,1.0
4.0,1528283268.0,1.0,1528283630.0,0.17584005976645603,1.0
8.0,1528283268.0,1.0,1528283630.0,0.4114156104937117,1.0
10.0,1528283630.0,3.0,1528283268.0,0.47611019052511994,1.0
2.0,1528283630.0,8.0,1528283268.0,0.3872912008584693,2.0
3.0,1528283630.0,16.0,1528284354.0,0.2152620688683407,1.0
11.0,1528283992.0,3.0,1528283630.0,0.47890350934015075,1.0
3.0,1528283992.0,10.0,1528284354.0,0.43469563357033436,1.0
4.0,1528283992.0,14.0,1528283630.0,0.054222816743913896,1.0
7.0,1528283992.0,1.0,1528284354.0,0.4495251013512486,1.0
11.0,1528284354.0,6.0,1528285078.0,0.2083200748815487,1.0
11.0,1528284354.0,14.0,1528285440.0,0.0630529392532787,1.0
11.0,1528284354.0,6.0,1528285440.0,0.18751988767767697,2.0
11.0,1528284354.0,7.0,1528285440.0,0.03973192915270465,1.0
11.0,1528284354.0,8.0,1528285440.0,0.02261331374736941,2.0
12.0,1528284354.0,4.0,1528283630.0,0.19067351836802224,2.0
14.0,1528284354.0,3.0,1528284716.0,0.05014300333237127,1.0
10.0,1528284716.0,7.0,1528285802.0,0.04343214232183824,1.0
11.0,1528284716.0,6.0,1528285802.0,0.18751988767767697,1.0
12.0,1528284716.0,9.0,1528285802.0,0.1560158351946059,1.0
14.0,1528284716.0,12.0,1528285802.0,0.04542899169047601,1.0
14.0,1528284716.0,16.0,1528285802.0,0.17170557606699646,1.0
12.0,1528285078.0,2.0,1528285802.0,0.13315214137761763,1.0
12.0,1528285078.0,9.0,1528285802.0,0.4373438901297373,1.0
14.0,1528285078.0,9.0,1528285802.0,0.18860096426482087,1.0
2.0,1528285078.0,8.0,1528285440.0,0.3872912008584693,1.0
2.0,1528285078.0,16.0,1528285802.0,0.1989360454437828,1.0
3.0,1528285078.0,8.0,1528285440.0,0.3570354003520321,1.0
3.0,1528285078.0,9.0,1528285802.0,0.00846750547762212,1.0
6.0,1528285078.0,2.0,1528284716.0,0.19184703137732037,1.0
8.0,1528285078.0,16.0,1528285802.0,0.4311588253272604,1.0
14.0,1528285440.0,5.0,1528285078.0,0.17228574890990947,1.0
8.0,1528285440.0,5.0,1528285078.0,0.02006886873798887,1.0
1.0,1528285802.0,6.0,1528286164.0,0.30320563902972353,1.0
